problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
a280.tsp,NearestNeighbour,---,3133.76,3285.38,3504.69
a280.tsp,NearestNeighbour,TwoOpt,2730.48,2851.32,2988.10
a280.tsp,NearestNeighbour,NodeSwap,3008.88,3112.97,3421.81
a280.tsp,NearestNeighbour,NodeShift,2876.65,2988.76,3183.06
a280.tsp,SemiGreedyNearestNeighbour,---,4944.62,5269.74,5532.88
a280.tsp,SemiGreedyNearestNeighbour,TwoOpt,2903.43,2979.95,3040.33
a280.tsp,SemiGreedyNearestNeighbour,NodeSwap,3520.33,3749.46,4014.54
a280.tsp,SemiGreedyNearestNeighbour,NodeShift,3305.28,3439.04,3679.57
a280.tsp,CheapestInsertion,---,2974.26,3068.08,3137.29
a280.tsp,CheapestInsertion,TwoOpt,2815.88,2910.45,3018.21
a280.tsp,CheapestInsertion,NodeSwap,2993.87,3074.98,3145.63
a280.tsp,CheapestInsertion,NodeShift,2803.05,2859.62,2922.90
a280.tsp,SemiGreedyCheapestInsertion,---,3176.56,3440.92,3523.22
a280.tsp,SemiGreedyCheapestInsertion,TwoOpt,2839.90,2893.32,2945.45
a280.tsp,SemiGreedyCheapestInsertion,NodeSwap,3079.03,3159.93,3258.74
a280.tsp,SemiGreedyCheapestInsertion,NodeShift,2881.95,2940.08,2981.83
a280.tsp,SemiGreedyRandomInsertion,---,4147.91,4278.22,4446.44
a280.tsp,SemiGreedyRandomInsertion,TwoOpt,2873.12,2975.90,3139.93
a280.tsp,SemiGreedyRandomInsertion,NodeSwap,3401.15,3497.43,3619.97
a280.tsp,SemiGreedyRandomInsertion,NodeShift,2966.76,3112.32,3213.00
a280.tsp,MSTSimple,---,3474.65,3560.15,3647.49
a280.tsp,MSTSimple,TwoOpt,2820.80,2859.61,2941.77
a280.tsp,MSTSimple,NodeSwap,3316.60,3425.22,3533.05
a280.tsp,MSTSimple,NodeShift,2999.37,3035.69,3109.96
berlin52.tsp,NearestNeighbour,---,8182.19,9240.10,10200.89
berlin52.tsp,NearestNeighbour,TwoOpt,7985.26,8166.43,8509.40
berlin52.tsp,NearestNeighbour,NodeSwap,8134.90,8917.37,10124.04
berlin52.tsp,NearestNeighbour,NodeShift,8221.90,8489.68,8876.07
berlin52.tsp,SemiGreedyNearestNeighbour,---,13100.99,14759.13,16161.49
berlin52.tsp,SemiGreedyNearestNeighbour,TwoOpt,7873.05,8241.62,8627.31
berlin52.tsp,SemiGreedyNearestNeighbour,NodeSwap,8815.37,9830.77,11308.04
berlin52.tsp,SemiGreedyNearestNeighbour,NodeShift,8124.17,8711.64,9077.87
berlin52.tsp,CheapestInsertion,---,8797.45,9047.72,9335.75
berlin52.tsp,CheapestInsertion,TwoOpt,8237.98,8584.73,8814.92
berlin52.tsp,CheapestInsertion,NodeSwap,8682.05,8817.31,8931.27
berlin52.tsp,CheapestInsertion,NodeShift,7945.79,8336.80,8483.52
berlin52.tsp,SemiGreedyCheapestInsertion,---,9079.10,9751.70,10367.03
berlin52.tsp,SemiGreedyCheapestInsertion,TwoOpt,7834.97,8278.29,8556.60
berlin52.tsp,SemiGreedyCheapestInsertion,NodeSwap,8331.41,8871.99,9167.78
berlin52.tsp,SemiGreedyCheapestInsertion,NodeShift,8088.59,8451.29,8699.27
berlin52.tsp,SemiGreedyRandomInsertion,---,10778.95,11424.72,11893.66
berlin52.tsp,SemiGreedyRandomInsertion,TwoOpt,7925.08,8298.82,8855.47
berlin52.tsp,SemiGreedyRandomInsertion,NodeSwap,8394.92,9011.47,9808.78
berlin52.tsp,SemiGreedyRandomInsertion,NodeShift,7984.50,8627.02,9210.07
berlin52.tsp,MSTSimple,---,9869.45,10091.95,10156.79
berlin52.tsp,MSTSimple,TwoOpt,7862.86,8126.91,8257.42
berlin52.tsp,MSTSimple,NodeSwap,8523.01,8932.07,9435.34
berlin52.tsp,MSTSimple,NodeShift,7797.28,8230.23,8535.13
bier127.tsp,NearestNeighbour,---,140306.20,145304.85,149439.02
bier127.tsp,NearestNeighbour,TwoOpt,121820.10,124838.18,127154.65
bier127.tsp,NearestNeighbour,NodeSwap,128578.32,137583.25,142916.61
bier127.tsp,NearestNeighbour,NodeShift,129513.39,132025.46,137288.69
bier127.tsp,SemiGreedyNearestNeighbour,---,211634.67,221038.90,234834.45
bier127.tsp,SemiGreedyNearestNeighbour,TwoOpt,124938.92,131052.12,134365.90
bier127.tsp,SemiGreedyNearestNeighbour,NodeSwap,148324.98,157675.22,170210.41
bier127.tsp,SemiGreedyNearestNeighbour,NodeShift,136834.26,146406.37,160585.70
bier127.tsp,CheapestInsertion,---,137767.75,139836.03,141685.39
bier127.tsp,CheapestInsertion,TwoOpt,132748.08,135626.61,137701.21
bier127.tsp,CheapestInsertion,NodeSwap,136053.53,137672.99,139615.33
bier127.tsp,CheapestInsertion,NodeShift,131955.22,133070.60,134629.76
bier127.tsp,SemiGreedyCheapestInsertion,---,146707.53,155553.77,160407.03
bier127.tsp,SemiGreedyCheapestInsertion,TwoOpt,127781.33,130510.00,134256.07
bier127.tsp,SemiGreedyCheapestInsertion,NodeSwap,137725.98,141083.90,144734.83
bier127.tsp,SemiGreedyCheapestInsertion,NodeShift,132332.35,136707.95,139554.96
bier127.tsp,SemiGreedyRandomInsertion,---,166790.74,178253.51,188605.31
bier127.tsp,SemiGreedyRandomInsertion,TwoOpt,127932.84,130858.83,134254.30
bier127.tsp,SemiGreedyRandomInsertion,NodeSwap,143143.16,148879.36,155223.03
bier127.tsp,SemiGreedyRandomInsertion,NodeShift,130133.82,136865.81,141980.46
bier127.tsp,MSTSimple,---,157160.51,158484.65,159571.17
bier127.tsp,MSTSimple,TwoOpt,122436.29,127605.21,137586.17
bier127.tsp,MSTSimple,NodeSwap,145380.08,147237.93,148544.27
bier127.tsp,MSTSimple,NodeShift,136771.83,138923.84,141676.49
ch130.tsp,NearestNeighbour,---,7422.62,7607.57,8003.97
ch130.tsp,NearestNeighbour,TwoOpt,6502.08,6655.52,6852.19
ch130.tsp,NearestNeighbour,NodeSwap,6934.93,7429.02,8141.64
ch130.tsp,NearestNeighbour,NodeShift,6872.16,7063.69,7348.20
