problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
a280.tsp,NearestNeighbour,---,3134.47,3229.06,3305.01
a280.tsp,NearestNeighbour,TwoOpt,2746.12,2847.73,2929.22
a280.tsp,NearestNeighbour,NodeSwap,3033.83,3131.04,3426.22
a280.tsp,NearestNeighbour,NodeShift,2865.65,3007.40,3172.36
a280.tsp,SemiGreedyNearestNeighbour,---,5065.51,5566.99,5724.04
a280.tsp,SemiGreedyNearestNeighbour,TwoOpt,2816.61,2914.48,3046.06
a280.tsp,SemiGreedyNearestNeighbour,NodeSwap,3647.48,3805.76,4075.77
a280.tsp,SemiGreedyNearestNeighbour,NodeShift,3129.98,3448.95,3746.98
a280.tsp,CheapestInsertion,---,3018.58,3127.66,3185.55
a280.tsp,CheapestInsertion,TwoOpt,2826.15,2891.37,2987.79
a280.tsp,CheapestInsertion,NodeSwap,2974.72,3061.33,3145.63
a280.tsp,CheapestInsertion,NodeShift,2818.01,2879.61,2930.54
a280.tsp,SemiGreedyCheapestInsertion,---,3325.31,3388.00,3495.26
a280.tsp,SemiGreedyCheapestInsertion,TwoOpt,2804.65,2880.50,2924.52
a280.tsp,SemiGreedyCheapestInsertion,NodeSwap,3050.98,3154.38,3255.11
a280.tsp,SemiGreedyCheapestInsertion,NodeShift,2863.75,2938.96,3085.77
a280.tsp,SemiGreedyRandomInsertion,---,4252.31,4334.34,4445.51
a280.tsp,SemiGreedyRandomInsertion,TwoOpt,2950.72,3014.35,3101.71
a280.tsp,SemiGreedyRandomInsertion,NodeSwap,3432.31,3537.22,3645.75
a280.tsp,SemiGreedyRandomInsertion,NodeShift,3011.46,3105.55,3186.89
a280.tsp,MSTSimple,---,3436.55,3507.14,3642.15
a280.tsp,MSTSimple,TwoOpt,2820.41,2878.06,2941.77
a280.tsp,MSTSimple,NodeSwap,3284.51,3411.48,3523.94
a280.tsp,MSTSimple,NodeShift,2994.17,3006.56,3021.67
berlin52.tsp,NearestNeighbour,---,8954.97,9600.68,10260.40
berlin52.tsp,NearestNeighbour,TwoOpt,7986.56,8176.16,8509.40
berlin52.tsp,NearestNeighbour,NodeSwap,8134.90,8999.37,9964.83
berlin52.tsp,NearestNeighbour,NodeShift,7895.58,8356.77,8874.05
berlin52.tsp,SemiGreedyNearestNeighbour,---,12252.25,14127.66,16001.99
berlin52.tsp,SemiGreedyNearestNeighbour,TwoOpt,7964.42,8242.91,8548.12
berlin52.tsp,SemiGreedyNearestNeighbour,NodeSwap,8980.14,9964.70,10666.91
berlin52.tsp,SemiGreedyNearestNeighbour,NodeShift,7960.69,8815.19,10206.73
berlin52.tsp,CheapestInsertion,---,8797.45,8974.04,9216.76
berlin52.tsp,CheapestInsertion,TwoOpt,8287.43,8551.66,8814.92
berlin52.tsp,CheapestInsertion,NodeSwap,8676.38,8884.70,8963.22
berlin52.tsp,CheapestInsertion,NodeShift,7746.86,8354.86,8483.52
berlin52.tsp,SemiGreedyCheapestInsertion,---,8932.85,9552.94,10129.70
berlin52.tsp,SemiGreedyCheapestInsertion,TwoOpt,8141.92,8367.89,8532.80
berlin52.tsp,SemiGreedyCheapestInsertion,NodeSwap,8441.01,8830.07,9291.70
berlin52.tsp,SemiGreedyCheapestInsertion,NodeShift,8152.01,8478.82,8944.58
berlin52.tsp,SemiGreedyRandomInsertion,---,11009.99,11530.44,12301.48
berlin52.tsp,SemiGreedyRandomInsertion,TwoOpt,7784.55,8203.68,8618.17
berlin52.tsp,SemiGreedyRandomInsertion,NodeSwap,8744.22,9166.97,9767.10
berlin52.tsp,SemiGreedyRandomInsertion,NodeShift,8141.65,8393.77,9148.16
berlin52.tsp,MSTSimple,---,9807.42,10036.87,10282.96
berlin52.tsp,MSTSimple,TwoOpt,7713.03,8107.74,8635.79
berlin52.tsp,MSTSimple,NodeSwap,8609.32,8879.42,9153.37
berlin52.tsp,MSTSimple,NodeShift,8067.17,8349.03,8535.13
bier127.tsp,NearestNeighbour,---,136444.42,145382.49,156358.57
