problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
a280.tsp,NearestNeighbour,---,3170.56,3377.34,3592.81
a280.tsp,NearestNeighbour,TwoOpt,2718.35,2834.03,2988.10
a280.tsp,NearestNeighbour,NodeSwap,3014.90,3154.29,3426.63
a280.tsp,NearestNeighbour,NodeShift,2857.74,2971.29,3129.50
a280.tsp,SemiGreedyNearestNeighbour,---,5025.78,5375.42,5657.12
a280.tsp,SemiGreedyNearestNeighbour,TwoOpt,2868.69,2956.55,3082.72
a280.tsp,SemiGreedyNearestNeighbour,NodeSwap,3460.38,3743.34,3922.23
a280.tsp,SemiGreedyNearestNeighbour,NodeShift,3252.08,3447.47,3679.07
a280.tsp,CheapestInsertion,---,3037.25,3123.16,3196.28
a280.tsp,CheapestInsertion,TwoOpt,2852.19,2884.66,2927.05
a280.tsp,CheapestInsertion,NodeSwap,3026.97,3086.95,3143.77
a280.tsp,CheapestInsertion,NodeShift,2838.45,2899.03,2939.74
a280.tsp,SemiGreedyCheapestInsertion,---,3195.80,3364.03,3630.61
a280.tsp,SemiGreedyCheapestInsertion,TwoOpt,2872.04,2920.37,3002.77
a280.tsp,SemiGreedyCheapestInsertion,NodeSwap,3056.88,3123.04,3248.07
a280.tsp,SemiGreedyCheapestInsertion,NodeShift,2870.89,2952.51,3015.66
a280.tsp,SemiGreedyRandomInsertion,---,4304.80,4400.85,4514.64
a280.tsp,SemiGreedyRandomInsertion,TwoOpt,2868.85,2949.44,3025.19
a280.tsp,SemiGreedyRandomInsertion,NodeSwap,3419.82,3494.16,3587.97
a280.tsp,SemiGreedyRandomInsertion,NodeShift,3030.63,3110.05,3193.23
a280.tsp,MSTSimple,---,3498.88,3585.17,3651.05
a280.tsp,MSTSimple,TwoOpt,2822.99,2866.57,2941.77
a280.tsp,MSTSimple,NodeSwap,3283.79,3368.58,3523.94
a280.tsp,MSTSimple,NodeShift,2983.03,3031.64,3107.10
berlin52.tsp,NearestNeighbour,---,8182.19,9107.60,9575.16
berlin52.tsp,NearestNeighbour,TwoOpt,7941.31,8209.34,8509.40
berlin52.tsp,NearestNeighbour,NodeSwap,8722.32,9071.93,10124.04
berlin52.tsp,NearestNeighbour,NodeShift,8209.89,8436.87,8874.85
berlin52.tsp,SemiGreedyNearestNeighbour,---,13097.87,15029.53,15742.13
berlin52.tsp,SemiGreedyNearestNeighbour,TwoOpt,7944.75,8368.25,8738.72
