problem_name,constructive_heuristic,perturbative_heuristic,best_cost,average_cost,worst_cost
a280.tsp,NearestNeighbour,---,3160.39,3342.53,3523.78
a280.tsp,NearestNeighbour,TwoOpt,2719.11,2806.02,2910.54
a280.tsp,NearestNeighbour,NodeSwap,3014.90,3134.18,3418.82
a280.tsp,NearestNeighbour,NodeShift,2864.26,2994.54,3213.28
a280.tsp,SemiGreedyNearestNeighbour,---,5210.64,5472.10,5744.41
a280.tsp,SemiGreedyNearestNeighbour,TwoOpt,2915.61,2980.15,3073.50
a280.tsp,SemiGreedyNearestNeighbour,NodeSwap,3513.58,3754.32,4025.57
a280.tsp,SemiGreedyNearestNeighbour,NodeShift,3281.57,3501.91,3852.63
a280.tsp,CheapestInsertion,---,2949.02,3130.43,3201.28
a280.tsp,CheapestInsertion,TwoOpt,2858.69,2914.04,2963.82
a280.tsp,CheapestInsertion,NodeSwap,2947.47,3055.75,3137.05
a280.tsp,CheapestInsertion,NodeShift,2836.08,2866.63,2936.67
a280.tsp,SemiGreedyCheapestInsertion,---,3281.51,3381.65,3486.47
a280.tsp,SemiGreedyCheapestInsertion,TwoOpt,2861.64,2898.77,2953.29
a280.tsp,SemiGreedyCheapestInsertion,NodeSwap,3035.68,3171.54,3305.69
a280.tsp,SemiGreedyCheapestInsertion,NodeShift,2871.75,2929.67,3011.89
a280.tsp,RandomInsertion,---,2920.47,2994.13,3091.82
a280.tsp,RandomInsertion,TwoOpt,2803.09,2917.28,2959.49
a280.tsp,RandomInsertion,NodeSwap,2927.21,2996.81,3150.17
a280.tsp,RandomInsertion,NodeShift,2735.54,2842.78,2906.91
a280.tsp,MSTSimple,---,3481.84,3558.25,3630.12
a280.tsp,MSTSimple,TwoOpt,2811.94,2882.65,2941.77
a280.tsp,MSTSimple,NodeSwap,3292.54,3400.17,3491.81
a280.tsp,MSTSimple,NodeShift,2978.67,3003.26,3025.83
berlin52.tsp,NearestNeighbour,---,8866.87,9483.11,10299.37
berlin52.tsp,NearestNeighbour,TwoOpt,8055.68,8276.40,8509.40
berlin52.tsp,NearestNeighbour,NodeSwap,8134.90,8840.93,9579.19
berlin52.tsp,NearestNeighbour,NodeShift,8082.97,8361.18,8579.03
berlin52.tsp,SemiGreedyNearestNeighbour,---,13133.63,14673.33,16849.06
berlin52.tsp,SemiGreedyNearestNeighbour,TwoOpt,7885.78,8210.22,8583.12
berlin52.tsp,SemiGreedyNearestNeighbour,NodeSwap,8757.26,9649.45,11024.56
berlin52.tsp,SemiGreedyNearestNeighbour,NodeShift,8339.17,8750.54,9313.64
berlin52.tsp,CheapestInsertion,---,8632.05,8901.12,9040.98
berlin52.tsp,CheapestInsertion,TwoOpt,8237.98,8617.14,8814.92
berlin52.tsp,CheapestInsertion,NodeSwap,8676.38,8885.10,9130.04
berlin52.tsp,CheapestInsertion,NodeShift,8264.04,8444.86,8483.52
berlin52.tsp,SemiGreedyCheapestInsertion,---,8906.51,9668.51,10193.67
berlin52.tsp,SemiGreedyCheapestInsertion,TwoOpt,7927.23,8295.54,8657.62
berlin52.tsp,SemiGreedyCheapestInsertion,NodeSwap,8370.70,8700.19,8981.21
berlin52.tsp,SemiGreedyCheapestInsertion,NodeShift,8158.34,8519.19,8909.85
berlin52.tsp,RandomInsertion,---,8211.15,8478.49,8903.28
berlin52.tsp,RandomInsertion,TwoOpt,7867.32,8236.02,8599.15
berlin52.tsp,RandomInsertion,NodeSwap,8028.98,8304.76,8699.02
berlin52.tsp,RandomInsertion,NodeShift,7770.65,8033.40,8364.37
berlin52.tsp,MSTSimple,---,9590.32,10082.27,10282.82
berlin52.tsp,MSTSimple,TwoOpt,8082.09,8190.67,8486.74
berlin52.tsp,MSTSimple,NodeSwap,8609.32,8980.66,9435.34
berlin52.tsp,MSTSimple,NodeShift,8067.17,8230.25,8478.61
bier127.tsp,NearestNeighbour,---,139600.49,146188.80,156573.94
bier127.tsp,NearestNeighbour,TwoOpt,124244.33,126514.72,129502.97
bier127.tsp,NearestNeighbour,NodeSwap,128504.84,133860.43,139371.14
bier127.tsp,NearestNeighbour,NodeShift,129829.59,132252.92,137293.30
bier127.tsp,SemiGreedyNearestNeighbour,---,202984.68,225620.61,249069.74
bier127.tsp,SemiGreedyNearestNeighbour,TwoOpt,126309.11,129461.39,134466.39
bier127.tsp,SemiGreedyNearestNeighbour,NodeSwap,144341.09,159603.47,182149.34
bier127.tsp,SemiGreedyNearestNeighbour,NodeShift,136817.10,146999.16,153588.11
bier127.tsp,CheapestInsertion,---,137767.75,139038.73,139977.63
bier127.tsp,CheapestInsertion,TwoOpt,130660.31,134947.17,136779.71
bier127.tsp,CheapestInsertion,NodeSwap,135895.11,137747.50,140123.46
bier127.tsp,CheapestInsertion,NodeShift,132205.69,133135.71,134256.36
bier127.tsp,SemiGreedyCheapestInsertion,---,148650.15,152124.70,155355.50
bier127.tsp,SemiGreedyCheapestInsertion,TwoOpt,125332.80,130578.62,134872.01
bier127.tsp,SemiGreedyCheapestInsertion,NodeSwap,138141.66,141332.35,144715.86
bier127.tsp,SemiGreedyCheapestInsertion,NodeShift,134543.98,136043.06,138148.22
bier127.tsp,RandomInsertion,---,124290.08,132356.56,135641.23
bier127.tsp,RandomInsertion,TwoOpt,123929.73,127985.10,132891.86
bier127.tsp,RandomInsertion,NodeSwap,124694.33,131178.59,138680.16
bier127.tsp,RandomInsertion,NodeShift,123244.37,126187.40,130508.13
bier127.tsp,MSTSimple,---,156569.81,158050.18,159387.29
bier127.tsp,MSTSimple,TwoOpt,124244.01,127899.51,132224.98
bier127.tsp,MSTSimple,NodeSwap,145029.27,146343.32,148881.37
bier127.tsp,MSTSimple,NodeShift,134447.55,139418.48,143545.57
ch130.tsp,NearestNeighbour,---,7428.43,7695.65,8644.39
ch130.tsp,NearestNeighbour,TwoOpt,6432.02,6591.80,6801.52
ch130.tsp,NearestNeighbour,NodeSwap,6939.16,7304.66,7725.83
ch130.tsp,NearestNeighbour,NodeShift,6690.69,7143.58,7667.89
ch130.tsp,SemiGreedyNearestNeighbour,---,11229.70,12425.19,13106.09
