trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
80,BEST,INFORMATION_GAIN,92.1965,27.6025,361,6,3.40,3.52,4.82,1.00,4.08,0.00
80,BEST,INFORMATION_GAIN,91.9075,7.6056,356,6,2.00,3.40,4.76,1.00,4.15,0.00
80,BEST,INFORMATION_GAIN,91.6185,8.5874,363,6,3.42,3.50,4.71,1.00,4.19,0.00
80,BEST,INFORMATION_GAIN,93.9306,6.2745,347,6,2.00,3.33,4.75,1.00,4.14,0.00
80,BEST,INFORMATION_GAIN,90.7514,5.9759,340,6,2.00,3.50,4.82,1.00,4.06,0.00
80,BEST,INFORMATION_GAIN,92.1965,4.6535,335,6,2.00,3.50,4.88,1.00,3.97,0.00
80,BEST,INFORMATION_GAIN,94.5087,7.7873,378,6,2.50,3.76,4.73,1.00,4.21,0.00
80,BEST,INFORMATION_GAIN,94.2197,6.2266,361,6,2.00,3.59,4.73,1.00,4.12,0.00
80,BEST,INFORMATION_GAIN,94.2197,4.9027,379,6,3.11,3.74,4.78,1.00,4.15,0.00
80,BEST,INFORMATION_GAIN,92.7746,5.224,347,6,2.00,3.37,4.77,1.00,4.14,0.00
80,BEST,INFORMATION_GAIN,94.5087,5.8945,397,6,3.00,3.27,4.78,1.00,4.19,0.00
80,BEST,INFORMATION_GAIN,92.4855,6.9689,369,6,2.50,3.63,4.83,1.00,4.08,0.00
80,BEST,INFORMATION_GAIN,93.9306,6.4893,370,6,2.00,3.42,4.73,1.00,4.17,0.00
80,BEST,INFORMATION_GAIN,93.6416,4.3975,356,6,2.00,3.37,4.82,1.00,4.12,0.00
80,BEST,INFORMATION_GAIN,94.7977,3.4242,384,6,2.88,3.27,4.76,1.00,4.18,0.00
80,BEST,INFORMATION_GAIN,88.4393,2.9744,353,6,2.57,3.20,4.79,1.00,4.15,0.00
80,BEST,INFORMATION_GAIN,92.7746,3.0568,355,6,2.00,3.42,4.70,1.00,4.20,0.00
80,BEST,INFORMATION_GAIN,92.4855,9.6699,361,6,2.50,3.76,4.84,1.00,4.00,0.00
80,BEST,INFORMATION_GAIN,93.3526,2.5401,363,6,2.00,3.28,4.83,1.00,4.11,0.00
80,BEST,INFORMATION_GAIN,93.3526,2.5536,363,6,3.11,3.83,4.74,1.00,4.09,0.00
80,BEST,GINI_IMPURITY,94.2197,4.0739,375,6,3.11,3.52,4.83,1.00,4.11,0.00
80,BEST,GINI_IMPURITY,93.6416,3.6254,371,6,2.50,3.63,4.83,1.00,4.11,0.00
80,BEST,GINI_IMPURITY,91.6185,3.4583,342,6,3.42,3.29,4.86,1.00,4.04,0.00
80,BEST,GINI_IMPURITY,90.7514,3.4165,347,6,2.00,3.37,4.77,1.00,4.11,0.00
80,BEST,GINI_IMPURITY,92.1965,3.8182,376,6,2.50,3.57,4.79,1.00,4.15,0.00
80,BEST,GINI_IMPURITY,91.0405,4.1892,379,6,3.17,3.31,4.89,1.00,4.07,0.00
80,BEST,GINI_IMPURITY,94.7977,3.6851,377,6,3.11,3.32,4.88,1.00,4.10,0.00
80,BEST,GINI_IMPURITY,94.5087,4.0858,379,6,3.40,3.57,4.76,1.00,4.11,0.00
80,BEST,GINI_IMPURITY,93.6416,3.7919,370,6,3.11,3.64,4.79,1.00,4.11,0.00
80,BEST,GINI_IMPURITY,89.3064,4.0715,343,6,3.42,3.53,4.83,1.00,4.00,0.00
80,BEST,GINI_IMPURITY,94.2197,3.0699,368,6,3.40,3.57,4.79,1.00,4.08,0.00
80,BEST,GINI_IMPURITY,92.7746,3.6735,378,6,3.11,3.40,4.83,1.00,4.14,0.00
80,BEST,GINI_IMPURITY,93.6416,2.8992,381,6,2.57,3.27,4.77,1.00,4.19,0.00
80,BEST,GINI_IMPURITY,90.4624,2.2774,370,6,3.71,4.04,4.73,1.00,4.00,0.00
80,BEST,GINI_IMPURITY,91.3295,3.7732,368,6,3.42,3.39,4.78,1.00,4.19,0.00
80,BEST,GINI_IMPURITY,91.0405,3.2167,335,6,2.00,3.33,4.79,1.00,4.09,0.00
80,BEST,GINI_IMPURITY,95.3757,3.7197,375,6,3.42,3.53,4.85,1.00,4.04,0.00
80,BEST,GINI_IMPURITY,92.1965,3.5052,380,6,2.50,3.57,4.84,1.00,4.12,0.00
80,BEST,GINI_IMPURITY,91.9075,3.8919,355,6,2.00,3.50,4.86,1.00,4.03,0.00
80,BEST,GINI_IMPURITY,91.0405,2.3803,376,6,3.79,3.74,4.69,1.00,4.15,0.00
80,TOP_THREE,INFORMATION_GAIN,77.7457,4.2627,834,6,4.20,1.00,4.00,0.00,4.41,4.55
80,TOP_THREE,INFORMATION_GAIN,84.1040,3.2846,711,6,1.00,3.92,4.23,4.62,4.20,0.00
80,TOP_THREE,INFORMATION_GAIN,80.9249,3.8299,828,6,0.00,4.53,4.15,4.43,4.06,4.53
80,TOP_THREE,INFORMATION_GAIN,83.2370,4.6222,755,6,0.00,3.33,4.31,4.30,4.29,4.42
80,TOP_THREE,INFORMATION_GAIN,82.3699,5.8972,702,6,0.00,4.26,4.12,4.50,4.32,3.10
80,TOP_THREE,INFORMATION_GAIN,78.6127,6.2972,792,6,0.00,3.08,4.22,4.42,3.67,4.51
80,TOP_THREE,INFORMATION_GAIN,80.6358,3.711,703,6,0.00,3.84,4.35,4.40,3.94,4.33
80,TOP_THREE,INFORMATION_GAIN,82.9480,4.986,713,6,4.59,3.73,4.40,0.00,3.47,4.44
80,TOP_THREE,INFORMATION_GAIN,79.1908,6.6215,773,6,0.00,4.47,3.97,4.53,4.50,3.63
80,TOP_THREE,INFORMATION_GAIN,81.7919,6.8366,808,6,0.00,4.50,4.15,3.74,4.14,4.48
