trainPct,selectionStrategy,evaluationMetric,accuracyPct,constructionTime,nodeCount,treeDepth,buyingDepth,maintDepth,doorsDepth,personsDepth,lugBootDepth,safetyDepth
1,BEST,INFORMATION_GAIN,70.3682,8.1262,15,3,1.00,2.00,-1.00,0.00,-1.00,1.00
1,BEST,INFORMATION_GAIN,68.2642,0.7329,12,3,1.00,2.00,-1.00,-1.00,-1.00,0.00
1,BEST,INFORMATION_GAIN,55.5231,0.5762,15,3,1.50,-1.00,-1.00,0.00,1.00,-1.00
1,BEST,INFORMATION_GAIN,65.3419,0.4241,11,2,1.00,-1.00,-1.00,0.00,-1.00,1.00
1,BEST,INFORMATION_GAIN,72.2385,0.2934,11,2,-1.00,1.00,-1.00,0.00,-1.00,1.00
1,BEST,INFORMATION_GAIN,60.2572,0.4336,16,3,1.50,1.00,-1.00,-1.00,-1.00,0.00
1,BEST,INFORMATION_GAIN,46.6394,0.4092,19,3,2.00,1.00,-1.00,-1.00,0.00,1.00
1,BEST,INFORMATION_GAIN,60.4325,0.3031,24,3,1.67,1.50,-1.00,0.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,44.1262,0.2954,15,3,0.00,2.00,-1.00,1.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,59.4389,0.3126,16,3,1.50,-1.00,1.00,-1.00,-1.00,0.00
1,BEST,INFORMATION_GAIN,68.5564,0.3845,19,3,1.50,2.00,-1.00,1.00,-1.00,0.00
1,BEST,INFORMATION_GAIN,53.9451,0.39,20,3,2.00,-1.00,1.00,0.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,73.5827,0.432,15,3,-1.00,2.00,1.00,1.00,-1.00,0.00
1,BEST,INFORMATION_GAIN,68.2642,0.2024,16,3,1.50,1.00,-1.00,0.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,42.5482,0.4294,23,4,0.00,1.00,2.00,1.00,2.00,-1.00
1,BEST,INFORMATION_GAIN,67.2706,0.1339,8,2,-1.00,1.00,-1.00,0.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,48.2759,0.2031,15,2,1.00,-1.00,0.00,1.00,1.00,-1.00
1,BEST,INFORMATION_GAIN,53.3606,0.2027,24,3,1.00,0.00,2.00,-1.00,2.00,-1.00
1,BEST,INFORMATION_GAIN,61.1923,0.2696,21,3,0.00,1.00,2.00,-1.00,-1.00,-1.00
1,BEST,INFORMATION_GAIN,51.8995,0.3057,24,3,1.50,1.00,0.00,2.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,50.5552,0.4128,19,3,2.00,1.00,-1.00,1.00,0.00,-1.00
1,BEST,GINI_IMPURITY,46.4641,0.2472,21,3,1.33,1.00,0.00,-1.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,56.5167,0.1556,12,3,1.00,2.00,-1.00,0.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,62.3027,0.1993,16,3,1.50,-1.00,1.00,0.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,67.0368,0.1371,11,2,-1.00,0.00,-1.00,1.00,-1.00,1.00
1,BEST,GINI_IMPURITY,57.2764,0.327,16,4,0.00,2.00,3.00,-1.00,1.00,-1.00
1,BEST,GINI_IMPURITY,59.3805,0.114,12,2,1.00,0.00,-1.00,-1.00,1.00,-1.00
1,BEST,GINI_IMPURITY,67.5044,0.1285,12,2,0.00,1.00,-1.00,1.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,61.0754,0.1824,19,3,1.00,2.00,1.00,0.00,2.00,-1.00
1,BEST,GINI_IMPURITY,62.9456,0.1136,20,3,1.00,0.00,1.50,-1.00,-1.00,2.00
1,BEST,GINI_IMPURITY,56.5751,0.2382,20,3,1.00,1.67,-1.00,-1.00,-1.00,0.00
1,BEST,GINI_IMPURITY,64.7575,0.1579,11,2,0.00,-1.00,-1.00,1.00,-1.00,1.00
1,BEST,GINI_IMPURITY,61.3092,0.1491,12,2,1.00,-1.00,1.00,0.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,59.7312,0.1784,13,2,1.00,0.00,1.00,-1.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,58.2116,0.1405,24,3,1.67,-1.00,1.50,-1.00,-1.00,0.00
1,BEST,GINI_IMPURITY,73.4658,0.1229,10,2,-1.00,-1.00,-1.00,0.00,-1.00,1.00
1,BEST,GINI_IMPURITY,61.6598,0.0994,12,3,2.00,1.00,-1.00,0.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,53.5944,0.1379,24,3,1.50,1.50,1.00,-1.00,0.00,-1.00
1,BEST,GINI_IMPURITY,59.4389,0.1237,20,3,0.00,1.00,-1.00,2.00,-1.00,-1.00
1,BEST,GINI_IMPURITY,67.0953,0.1095,15,3,1.00,2.00,-1.00,0.00,-1.00,1.00
1,TOP_THREE,INFORMATION_GAIN,65.4004,0.1694,21,4,3.00,1.00,-1.00,2.00,1.50,0.00
1,TOP_THREE,INFORMATION_GAIN,59.3220,0.1447,27,4,1.00,2.00,0.00,1.00,-1.00,2.00
1,TOP_THREE,INFORMATION_GAIN,59.6727,0.1182,26,6,0.00,2.50,1.00,3.00,5.00,2.00
1,TOP_THREE,INFORMATION_GAIN,58.1531,0.2417,22,4,1.00,1.00,2.00,2.00,0.00,3.00
1,TOP_THREE,INFORMATION_GAIN,59.0298,0.2949,24,3,2.00,2.00,1.00,0.00,-1.00,-1.00
1,TOP_THREE,INFORMATION_GAIN,63.8808,0.131,11,3,-1.00,2.00,-1.00,0.00,-1.00,1.00
1,TOP_THREE,INFORMATION_GAIN,67.3290,0.1843,25,5,3.00,2.00,1.00,1.00,3.00,0.00
1,TOP_THREE,INFORMATION_GAIN,64.4652,0.2673,29,5,4.00,1.50,2.00,0.00,3.00,1.00
1,TOP_THREE,INFORMATION_GAIN,55.4646,0.2731,26,4,0.00,2.50,1.00,1.00,1.00,2.00
1,TOP_THREE,INFORMATION_GAIN,68.3811,0.2228,23,5,2.00,2.50,4.00,-1.00,1.00,0.00
1,TOP_THREE,INFORMATION_GAIN,50.2630,0.2,23,4,-1.00,-1.00,0.00,2.00,1.33,2.00
1,TOP_THREE,INFORMATION_GAIN,53.3022,0.1143,15,3,-1.00,0.00,1.00,-1.00,2.00,2.00
1,TOP_THREE,INFORMATION_GAIN,62.1274,0.1766,27,4,1.00,1.50,2.50,2.00,-1.00,0.00
1,TOP_THREE,INFORMATION_GAIN,68.3226,0.1774,29,4,3.00,-1.00,2.33,1.00,1.50,0.00
1,TOP_THREE,INFORMATION_GAIN,73.3489,0.2777,32,5,2.00,3.00,3.00,1.00,2.50,0.00
1,TOP_THREE,INFORMATION_GAIN,67.9135,0.2618,28,5,0.00,4.00,3.00,1.00,2.00,2.00
1,TOP_THREE,INFORMATION_GAIN,46.8732,0.2059,15,2,-1.00,0.00,1.00,-1.00,1.00,-1.00
1,TOP_THREE,INFORMATION_GAIN,46.8732,0.2121,12,2,-1.00,-1.00,1.00,-1.00,0.00,-1.00
1,TOP_THREE,INFORMATION_GAIN,71.8293,0.2501,26,5,2.50,-1.00,3.00,1.00,3.00,0.00
1,TOP_THREE,INFORMATION_GAIN,66.8615,0.2884,9,2,1.00,0.00,-1.00,-1.00,-1.00,-1.00
1,TOP_THREE,GINI_IMPURITY,75.1607,0.2178,22,4,3.00,-1.00,2.50,1.00,2.00,0.00
1,TOP_THREE,GINI_IMPURITY,65.8095,0.1468,8,2,-1.00,-1.00,1.00,-1.00,0.00,-1.00
1,TOP_THREE,GINI_IMPURITY,64.6406,0.4994,27,5,2.50,3.00,2.00,-1.00,1.00,0.00
1,TOP_THREE,GINI_IMPURITY,66.6277,0.2309,22,5,1.00,3.00,1.00,2.00,4.00,0.00
1,TOP_THREE,GINI_IMPURITY,57.3933,0.1958,18,3,0.00,1.00,-1.00,1.00,2.00,1.00
1,TOP_THREE,GINI_IMPURITY,54.7049,0.2431,23,3,1.50,1.00,2.00,2.00,0.00,-1.00
1,TOP_THREE,GINI_IMPURITY,59.4974,0.165,19,3,2.00,1.00,1.00,2.00,-1.00,0.00
1,TOP_THREE,GINI_IMPURITY,68.4980,0.1811,20,3,0.00,-1.00,-1.00,-1.00,2.00,1.00
1,TOP_THREE,GINI_IMPURITY,52.7762,0.2067,15,2,-1.00,1.00,1.00,1.00,0.00,-1.00
1,TOP_THREE,GINI_IMPURITY,69.4915,0.2852,14,3,-1.00,2.00,-1.00,1.00,1.00,0.00
1,TOP_THREE,GINI_IMPURITY,47.9252,0.2735,26,3,1.00,0.00,-1.00,-1.00,2.00,1.50
1,TOP_THREE,GINI_IMPURITY,59.7312,0.1239,21,3,1.00,0.00,-1.00,2.00,1.00,1.00
1,TOP_THREE,GINI_IMPURITY,49.1525,0.1925,22,3,1.00,0.00,-1.00,1.50,-1.00,2.00
1,TOP_THREE,GINI_IMPURITY,65.0497,0.1864,17,3,-1.00,-1.00,1.00,1.00,2.00,0.00
1,TOP_THREE,GINI_IMPURITY,60.5494,0.1708,18,3,1.00,1.00,-1.00,-1.00,2.00,0.00
1,TOP_THREE,GINI_IMPURITY,56.9258,0.2581,27,3,0.00,1.00,1.50,-1.00,-1.00,1.50
1,TOP_THREE,GINI_IMPURITY,65.3419,0.2559,15,3,1.00,-1.00,2.00,1.00,0.00,-1.00
1,TOP_THREE,GINI_IMPURITY,66.3355,0.1081,11,2,-1.00,-1.00,1.00,0.00,-1.00,1.00
1,TOP_THREE,GINI_IMPURITY,59.4974,0.1017,21,4,0.00,-1.00,3.00,-1.00,2.00,1.00
1,TOP_THREE,GINI_IMPURITY,69.4915,0.1555,17,4,-1.00,-1.00,2.00,2.00,1.00,0.00
2,BEST,INFORMATION_GAIN,58.1217,0.4573,29,3,0.00,1.00,1.50,2.00,2.00,1.00
2,BEST,INFORMATION_GAIN,60.3071,0.2815,26,3,2.00,1.00,0.00,1.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,73.3609,0.3422,37,5,2.00,2.00,4.00,0.00,-1.00,1.67
2,BEST,INFORMATION_GAIN,61.7838,0.3612,43,4,1.33,0.00,2.00,2.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,63.7921,0.2692,26,4,2.00,-1.00,2.50,0.00,1.00,1.00
2,BEST,INFORMATION_GAIN,68.1630,0.2194,20,3,1.50,1.00,2.00,0.00,-1.00,-1.00
2,BEST,INFORMATION_GAIN,67.1589,0.2634,28,3,2.00,1.00,2.00,-1.00,-1.00,0.00
2,BEST,INFORMATION_GAIN,75.4282,0.2803,22,3,2.00,2.00,2.00,0.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,61.1341,0.2691,32,3,1.67,1.67,2.00,-1.00,-1.00,0.00
2,BEST,INFORMATION_GAIN,69.1672,0.249,26,3,2.00,2.00,-1.00,0.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,68.8718,0.2425,29,4,2.00,1.50,-1.00,0.00,2.50,1.00
2,BEST,INFORMATION_GAIN,58.0035,0.2451,27,4,1.67,0.00,1.00,2.00,-1.00,-1.00
2,BEST,INFORMATION_GAIN,68.1040,0.2276,27,3,1.00,2.00,2.00,0.00,1.00,-1.00
2,BEST,INFORMATION_GAIN,75.9008,0.2194,22,4,2.50,2.00,-1.00,0.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,54.5777,0.2545,34,3,1.50,0.00,1.33,2.00,2.00,-1.00
2,BEST,INFORMATION_GAIN,65.7413,0.1957,16,3,0.00,2.00,1.00,-1.00,-1.00,1.00
2,BEST,INFORMATION_GAIN,64.0284,0.2496,24,3,1.67,1.50,-1.00,0.00,-1.00,-1.00
2,BEST,INFORMATION_GAIN,56.5859,0.5722,47,4,0.00,1.67,1.67,1.00,3.00,-1.00
2,BEST,INFORMATION_GAIN,70.8210,0.204,23,4,3.00,1.50,2.00,1.00,-1.00,0.00
2,BEST,INFORMATION_GAIN,70.8801,0.2483,19,3,1.67,-1.00,-1.00,1.00,-1.00,0.00
