trainPct,selectionStrategy,evaluationMetric,run,buying,maint,doors,persons,lug_boot,safety,actualLabel,predictedLabel
80,BEST,INFORMATION_GAIN,1,vhigh,low,4,more,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,4,4,small,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,vhigh,4,4,big,med,acc,acc
80,BEST,INFORMATION_GAIN,1,vhigh,low,4,more,med,med,acc,acc
80,BEST,INFORMATION_GAIN,1,low,vhigh,2,4,med,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,low,3,4,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,med,4,2,small,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,4,4,med,med,unacc,acc
80,BEST,INFORMATION_GAIN,1,vhigh,low,4,2,med,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,vhigh,4,2,small,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,low,2,4,big,med,good,good
80,BEST,INFORMATION_GAIN,1,med,vhigh,3,2,med,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,vhigh,low,5more,4,small,high,acc,acc
80,BEST,INFORMATION_GAIN,1,high,med,2,2,med,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,vhigh,5more,2,big,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,low,3,4,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,vhigh,3,4,small,high,acc,acc
80,BEST,INFORMATION_GAIN,1,low,high,2,2,small,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,med,5more,4,small,med,acc,acc
80,BEST,INFORMATION_GAIN,1,med,low,2,4,big,med,good,acc
80,BEST,INFORMATION_GAIN,1,vhigh,low,5more,2,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,med,4,more,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,med,4,2,med,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,4,more,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,high,5more,4,big,high,acc,acc
80,BEST,INFORMATION_GAIN,1,low,high,3,more,med,med,acc,acc
80,BEST,INFORMATION_GAIN,1,low,med,3,more,big,med,good,good
80,BEST,INFORMATION_GAIN,1,high,low,5more,more,small,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,vhigh,5more,more,big,high,acc,acc
80,BEST,INFORMATION_GAIN,1,low,vhigh,5more,more,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,high,2,2,big,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,low,5more,2,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,vhigh,5more,2,big,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,5more,4,small,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,med,2,2,med,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,low,5more,4,big,med,good,good
80,BEST,INFORMATION_GAIN,1,vhigh,vhigh,2,4,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,vhigh,vhigh,2,more,med,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,3,2,med,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,med,3,more,med,med,acc,acc
80,BEST,INFORMATION_GAIN,1,low,high,4,more,small,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,med,vhigh,2,more,med,high,acc,unacc
80,BEST,INFORMATION_GAIN,1,low,med,5more,more,small,high,good,good
80,BEST,INFORMATION_GAIN,1,high,vhigh,3,4,small,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,low,low,5more,2,small,med,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,high,5more,2,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,vhigh,high,5more,4,big,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,3,4,med,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,vhigh,vhigh,3,more,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,vhigh,med,4,more,med,med,acc,acc
80,BEST,INFORMATION_GAIN,1,vhigh,high,3,4,small,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,vhigh,5more,2,big,high,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,med,3,4,small,high,acc,acc
80,BEST,INFORMATION_GAIN,1,high,high,3,4,med,low,unacc,unacc
80,BEST,INFORMATION_GAIN,1,high,low,5more,4,big,high,acc,acc
80,BEST,INFORMATION_GAIN,1,med,vhigh,5more,more,small,low,unacc,unacc
